system,parameter,value,seed,clip_idx,ga_best_fitness,critic_score,novelty_dist_aist,novelty_score,target_dist,smoothness_cm_std,upright_pct,bone_std_cm,runtime_s,collapse
System2,target_realism,0.8,2,0,,0.744758129119873,627.972900390625,0.7435740429236993,0.055241870880127,3.288616418838501,100.0,3.2527947425842285,6.551901166967582,1
System2,target_realism,0.8,0,1,,0.7809566259384155,1114.6796875,0.7802566431076011,0.019043374061584517,11.462410926818848,35.0,8.837884902954102,2.15639179100981,1
System2,target_realism,0.8,1,1,,0.22254227101802826,10067.408203125,0.22252016799374397,0.5774577289819718,158.2670440673828,100.0,76.38665771484375,9.03412633301923,1
System2,target_realism,0.8,2,1,,0.7719351053237915,831.1011352539062,0.7710074114743074,0.02806489467620854,1.6674326658248901,100.0,5.412180423736572,7.845248665951658,1
System2,target_realism,0.8,0,2,,0.8026409149169922,1155.88916015625,0.8019471225101132,0.002640914916992143,10.840803146362305,36.666666666666664,8.784629821777344,2.284713750006631,1
System2,target_realism,0.8,1,2,,0.4550382196903229,685.53955078125,0.45437541997372605,0.34496178030967717,1.917445421218872,100.0,3.870983362197876,9.05927933298517,1
System2,target_realism,0.8,2,2,,0.19650861620903015,953.2731323242188,0.19630269129135966,0.6034913837909699,1.7130283117294312,100.0,5.580108642578125,9.028427042008843,1
System2,target_realism,0.9,0,0,,0.8620527982711792,1352.872802734375,0.8614160672603116,0.03794720172882082,10.562666893005371,36.666666666666664,9.638851165771484,2.387389124953188,1
System2,target_realism,0.9,1,0,,0.2403978556394577,766.9859619140625,0.24008483187657498,0.6596021443605423,1.6069315671920776,100.0,4.806535720825195,9.065364208014216,1
System2,target_realism,0.9,2,0,,0.7901237607002258,5414.6171875,0.7899778634306543,0.10987623929977419,83.97982788085938,25.0,20.293081283569336,9.026263875013683,1
System2,target_realism,0.9,0,1,,0.8647986054420471,1311.4625244140625,0.8641396924526433,0.0352013945579529,10.302046775817871,36.666666666666664,9.602750778198242,2.388078709016554,1
System2,target_realism,0.9,1,1,,0.883294403553009,783.2017211914062,0.8821680423379239,0.01670559644699099,3.015974760055542,100.0,3.813241958618164,9.313672917021904,0
System2,target_realism,0.9,2,1,,0.16314908862113953,880.944580078125,0.1629641007065852,0.7368509113788605,2.222485303878784,100.0,6.659464359283447,9.322428875020705,1
System2,target_realism,0.9,0,2,,0.8475005030632019,1381.193115234375,0.8468873467005185,0.05249949693679812,10.746615409851074,36.666666666666664,9.712983131408691,2.4366793340304866,1
System2,target_realism,0.9,1,2,,0.226309671998024,2355.806396484375,0.22621364812761377,0.673690328001976,48.1453742980957,100.0,28.47553253173828,9.476113125041593,1
System2,target_realism,0.9,2,2,,0.9194124341011047,665.3045043945312,0.9180325658456191,0.019412434101104714,2.1639211177825928,100.0,5.941123008728027,6.140449583996087,0
System2,target_realism,0.93,0,0,,0.8876499533653259,1173.5374755859375,0.8868942091069978,0.04235004663467412,9.925202369689941,35.0,9.369539260864258,2.7039679160225205,0
System2,target_realism,0.93,1,0,,0.9232971668243408,767.2359619140625,0.9220953262277044,0.0067028331756592285,2.703516960144043,100.0,3.024038314819336,7.133293582999613,0
System2,target_realism,0.93,2,0,,0.8059479594230652,829.0023803710938,0.8049769405700076,0.12405204057693486,2.0738611221313477,100.0,5.7941694259643555,9.041572791000362,1
System2,target_realism,0.93,0,1,,0.8871567249298096,1421.8148193359375,0.8865332026605209,0.04284327507019048,9.11508846282959,36.666666666666664,9.809799194335938,2.4969772080075927,0
System2,target_realism,0.93,1,1,,0.9284161925315857,743.6068725585938,0.9271693383502089,0.0015838074684143555,3.1197280883789062,100.0,3.4217379093170166,5.950766832975205,0
System2,target_realism,0.93,2,1,,0.9216799139976501,950.3239135742188,0.9207110747822721,0.008320086002349902,2.0051589012145996,100.0,4.207021713256836,7.938908833020832,0
